codigo,tipo,nombre,direccion,comuna_codigo,comuna,region_codigo,region,servicio_salud,dependencia
114329,CESFAM,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Avenida San Carlos 1693,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Delegado
114327,CESFAM,Centro de Salud Familiar Juan Pablo II Red de Salud UC CHRISTUS,"Avenida La Primavera, Población Jorge Alessandri Rodríguez, El Castillo 2870",13112,La Pintana,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Delegado
114407,PSR,Posta de Salud Rural Las Vertientes,Calle Parque Municipal 2786,13203,San José de Maipo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114332,CESFAM,Centro de Salud Familiar Laurita Vicuña,Avenida Ejército Libertador 2433,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113394,CESFAM,Centro de Salud Familiar El Manzano,Calle Camino Santa Teresa 1876,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
113339,COSAM,COSAM San Bernardo,Calle Martín de Solís 14260,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
113315,CESFAM,Centro de Salud Familiar Confraternidad,Calle Martín de Solís 14210,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
106314,CESFAM,Centro de Salud Familiar San Antonio,Calle Lucía Subercaseux 116,05601,San Antonio,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
114311,CESFAM,Centro de Salud Familiar Santiago de Nueva Extremadura,Avenida Juanita 13558,13112,La Pintana,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
200468,COSAM,COSAM CEIF Puente Alto Norte,Avenida Concha y Toro 2531,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114318,CESFAM,Centro de Salud Familiar Flor Fernández,Avenida Ciudad de México 1503,13112,La Pintana,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113332,CESFAM,Centro de Salud Familiar Juan Pablo II ( San Bernardo),Calle Santa Marta 276,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
114320,CESFAM,Centro de Salud Familiar Bernardo Leighton,Calle Miguel Ángel 1929,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114322,CESFAM,Centro de Salud Familiar Padre Manuel Villaseca,Calle Luis Matte Larraín 2312,13201,Puente Alto,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114609,COSAM,COSAM La Pintana,Calle Patagonia 12834,13112,La Pintana,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113323,CESFAM,Centro de Salud Familiar Dr. Mario Salcedo,Pasaje Mar Báltico 13256,13105,El Bosque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
114308,CESFAM,Centro de Salud Familiar San Rafael,Avenida Porto Alegre 12577,13112,La Pintana,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
106736,CECOSF,Centro Comunitario de Salud Familiar Cerro Alegre,Calle Agustín Kropp 583,05601,San Antonio,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
113329,CESFAM,Centro de Salud Familiar Canciller Orlando Letelier,Calle Lo Moreno 890,13105,El Bosque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
114309,CESFAM,Centro de Salud Familiar Pablo de Rokha,Calle Pedro Prado 12221,13112,La Pintana,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113316,CESFAM,Centro de Salud Familiar Carol Urzúa,Calle Loncomilla 958,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
113324,CESFAM,Centro de Salud Familiar Dra. Haydeé López Casoou,Calle Lo Martínez 862,13105,El Bosque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
110366,CESFAM,Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),Calle Primera Transversal 1657,13604,Padre Hurtado,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
110455,PSR,Posta de Salud Rural Pabellón,Calle Larraín,13501,Melipilla,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
110445,PSR,Posta de Salud Rural Pahuilmo,"Calle Calle Pahuilmo S/N°, Mallarauco",13501,Melipilla,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
113337,COSAM,COSAM El Bosque,Calle Padre Hurtado 11480,13105,El Bosque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
106336,CESFAM,Centro de Salud Familiar Diputado Manuel Bustos Huerta,Avenida Reinaldo Barahona 1150,05601,San Antonio,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
114319,CESFAM,Centro de Salud Familiar El Roble,Avenida Observatorio 1777,13112,La Pintana,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113716,CECOSF,Centro Comunitario de Salud Familiar Rapa Nui,Calle Miguel de Unamuno 2738,13401,San Bernardo,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
200962,CECOSF,Centro Comunitario de Salud Familiar Los Sauces,Calle Portales 1071,13105,El Bosque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
113314,CESFAM,Centro de Salud Familiar Cóndores de Chile,Calle Agusto D`Almar 555,13105,El Bosque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
114316,CESFAM,Centro de Salud Familiar Dr. Fernando Maffioletti,Avenida Central 301,13110,La Florida,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114305,CESFAM,Centro de Salud Familiar Los Quillayes,Calle Julio César 10905,13110,La Florida,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114334,CESFAM,Centro de Salud Familiar José Alvo,Avenida Bacteriológico 10817,13110,La Florida,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114317,CESFAM,Centro de Salud Familiar Santo Tomás,Calle Santo Tomás 987,13112,La Pintana,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113312,CESFAM,Centro de Salud Familiar Dr. Carlos Lorca Tobar,Calle Claudina Parra 11028,13105,El Bosque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
114610,COSAM,COSAM La Florida,Calle Diagonal La Florida 5820,13110,La Florida,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
113317,CESFAM,Centro de Salud Familiar Santa Laura,Calle Indio Gerónimo 10460,13105,El Bosque,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,Municipal
114325,CESFAM,Centro de Salud Familiar Granja Sur,Avenida Sofía Eastman 10009,13111,La Granja,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114328,CESFAM,Centro de Salud Familiar Poetisa Gabriela Mistral,Calle Aurora de Chile 9872,13131,San Ramón,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
200643,CECOSF,Centro Comunitario de Salud Familiar Los Bosquinos,Calle El Tranque 177,13119,Maipú,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Central,Municipal
114606,COSAM,COSAM La Bandera,Calle La Bandera 9696,13131,San Ramón,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
114330,CESFAM,Centro de Salud Familiar Trinidad,Calle Uno 10021,13110,La Florida,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,Municipal
106326,CESFAM,Centro de Salud Familiar Cartagena,Calle Crescente Errázuriz 665,05603,Cartagena,05,Valparaíso,Servicio de Salud Valparaíso San Antonio,Municipal
